Index,UNIQUE_SUBJECT_UID,Task,Train,Test,Congruency,Ratio,Validation Accuracy
149,size_equate_1_170,size,Average Diameter,Average Diameter,0,71,0.85
150,size_equate_1_171,size,Average Diameter,Average Diameter,0,71,0.9
151,size_equate_1_172,size,Average Diameter,Average Diameter,0,71,0.9
152,size_equate_1_173,size,Average Diameter,Average Diameter,0,71,0.95
153,size_equate_1_174,size,Average Diameter,Average Diameter,0,71,0.85
154,size_equate_1_175,size,Average Diameter,Average Diameter,0,71,0.95
155,size_equate_1_176,size,Average Diameter,Average Diameter,0,71,0.95
156,size_equate_1_177,size,Average Diameter,Average Diameter,0,71,0.9
157,size_equate_1_178,size,Average Diameter,Average Diameter,0,71,0.45
158,size_equate_1_179,size,Average Diameter,Average Diameter,0,71,0.65
159,size_equate_1_180,size,Average Diameter,Average Diameter,0,71,0.7
160,size_equate_1_161,size,Average Diameter,Average Diameter,1,75,1.0
161,size_equate_1_162,size,Average Diameter,Average Diameter,1,75,1.0
162,size_equate_1_163,size,Average Diameter,Average Diameter,1,75,1.0
163,size_equate_1_164,size,Average Diameter,Average Diameter,1,75,1.0
164,size_equate_1_165,size,Average Diameter,Average Diameter,1,75,1.0
165,size_equate_1_166,size,Average Diameter,Average Diameter,1,75,1.0
166,size_equate_1_167,size,Average Diameter,Average Diameter,1,75,1.0
167,size_equate_1_168,size,Average Diameter,Average Diameter,1,75,1.0
168,size_equate_1_169,size,Average Diameter,Average Diameter,1,75,1.0
169,size_equate_1_170,size,Average Diameter,Average Diameter,1,75,1.0
170,size_equate_1_171,size,Average Diameter,Average Diameter,1,75,1.0
171,size_equate_1_172,size,Average Diameter,Average Diameter,1,75,1.0
172,size_equate_1_173,size,Average Diameter,Average Diameter,1,75,1.0
173,size_equate_1_174,size,Average Diameter,Average Diameter,1,75,1.0
174,size_equate_1_175,size,Average Diameter,Average Diameter,1,75,1.0
175,size_equate_1_176,size,Average Diameter,Average Diameter,1,75,1.0
176,size_equate_1_177,size,Average Diameter,Average Diameter,1,75,0.1
177,size_equate_1_178,size,Average Diameter,Average Diameter,1,75,1.0
178,size_equate_1_179,size,Average Diameter,Average Diameter,1,75,1.0
179,size_equate_1_180,size,Average Diameter,Average Diameter,1,75,1.0
180,size_equate_1_161,size,Average Diameter,Average Diameter,0,75,1.0
181,size_equate_1_162,size,Average Diameter,Average Diameter,0,75,1.0
182,size_equate_1_163,size,Average Diameter,Average Diameter,0,75,0.8
183,size_equate_1_164,size,Average Diameter,Average Diameter,0,75,0.85
184,size_equate_1_165,size,Average Diameter,Average Diameter,0,75,0.95
185,size_equate_1_166,size,Average Diameter,Average Diameter,0,75,0.95
186,size_equate_1_167,size,Average Diameter,Average Diameter,0,75,1.0
187,size_equate_1_168,size,Average Diameter,Average Diameter,0,75,0.95
188,size_equate_1_169,size,Average Diameter,Average Diameter,0,75,0.95
189,size_equate_1_170,size,Average Diameter,Average Diameter,0,75,0.95
190,size_equate_1_171,size,Average Diameter,Average Diameter,0,75,0.95
191,size_equate_1_172,size,Average Diameter,Average Diameter,0,75,0.95
192,size_equate_1_173,size,Average Diameter,Average Diameter,0,75,0.9
193,size_equate_1_174,size,Average Diameter,Average Diameter,0,75,1.0
194,size_equate_1_175,size,Average Diameter,Average Diameter,0,75,0.95
195,size_equate_1_176,size,Average Diameter,Average Diameter,0,75,0.95
196,size_equate_1_177,size,Average Diameter,Average Diameter,0,75,1.0
197,size_equate_1_178,size,Average Diameter,Average Diameter,0,75,0.25
198,size_equate_1_179,size,Average Diameter,Average Diameter,0,75,0.65
199,size_equate_1_180,size,Average Diameter,Average Diameter,0,75,0.95
200,size_equate_1_161,size,Average Diameter,Average Diameter,1,86,1.0
201,size_equate_1_162,size,Average Diameter,Average Diameter,1,86,0.55
202,size_equate_1_163,size,Average Diameter,Average Diameter,1,86,0.95
203,size_equate_1_164,size,Average Diameter,Average Diameter,1,86,1.0
204,size_equate_1_165,size,Average Diameter,Average Diameter,1,86,1.0
205,size_equate_1_166,size,Average Diameter,Average Diameter,1,86,1.0
206,size_equate_1_167,size,Average Diameter,Average Diameter,1,86,0.9
207,size_equate_1_168,size,Average Diameter,Average Diameter,1,86,1.0
208,size_equate_1_169,size,Average Diameter,Average Diameter,1,86,1.0
209,size_equate_1_170,size,Average Diameter,Average Diameter,1,86,0.95
210,size_equate_1_171,size,Average Diameter,Average Diameter,1,86,0.95
211,size_equate_1_172,size,Average Diameter,Average Diameter,1,86,1.0
212,size_equate_1_173,size,Average Diameter,Average Diameter,1,86,1.0
213,size_equate_1_174,size,Average Diameter,Average Diameter,1,86,0.85
214,size_equate_1_175,size,Average Diameter,Average Diameter,1,86,0.95
215,size_equate_1_176,size,Average Diameter,Average Diameter,1,86,0.85
216,size_equate_1_177,size,Average Diameter,Average Diameter,1,86,0.0
217,size_equate_1_178,size,Average Diameter,Average Diameter,1,86,1.0
218,size_equate_1_179,size,Average Diameter,Average Diameter,1,86,1.0
219,size_equate_1_180,size,Average Diameter,Average Diameter,1,86,1.0
220,size_equate_1_161,size,Average Diameter,Average Diameter,0,86,1.0
221,size_equate_1_162,size,Average Diameter,Average Diameter,0,86,1.0
222,size_equate_1_163,size,Average Diameter,Average Diameter,0,86,0.55
223,size_equate_1_164,size,Average Diameter,Average Diameter,0,86,0.7
224,size_equate_1_165,size,Average Diameter,Average Diameter,0,86,0.95
225,size_equate_1_166,size,Average Diameter,Average Diameter,0,86,0.85
226,size_equate_1_167,size,Average Diameter,Average Diameter,0,86,1.0
227,size_equate_1_168,size,Average Diameter,Average Diameter,0,86,0.8
228,size_equate_1_169,size,Average Diameter,Average Diameter,0,86,0.8
229,size_equate_1_170,size,Average Diameter,Average Diameter,0,86,0.75
230,size_equate_1_171,size,Average Diameter,Average Diameter,0,86,0.9
231,size_equate_1_172,size,Average Diameter,Average Diameter,0,86,0.8
232,size_equate_1_173,size,Average Diameter,Average Diameter,0,86,0.9
233,size_equate_1_174,size,Average Diameter,Average Diameter,0,86,0.85
234,size_equate_1_175,size,Average Diameter,Average Diameter,0,86,0.95
235,size_equate_1_176,size,Average Diameter,Average Diameter,0,86,0.9
236,size_equate_1_177,size,Average Diameter,Average Diameter,0,86,1.0
237,size_equate_1_178,size,Average Diameter,Average Diameter,0,86,0.35
238,size_equate_1_179,size,Average Diameter,Average Diameter,0,86,0.6
239,size_equate_1_180,size,Average Diameter,Average Diameter,0,86,0.65
0,size_equate_1_161,size,Average Diameter,Convex Hull,1,50,1.0
1,size_equate_1_162,size,Average Diameter,Convex Hull,1,50,0.95
2,size_equate_1_163,size,Average Diameter,Convex Hull,1,50,1.0
3,size_equate_1_164,size,Average Diameter,Convex Hull,1,50,1.0
4,size_equate_1_165,size,Average Diameter,Convex Hull,1,50,1.0
5,size_equate_1_166,size,Average Diameter,Convex Hull,1,50,1.0
6,size_equate_1_167,size,Average Diameter,Convex Hull,1,50,1.0
7,size_equate_1_168,size,Average Diameter,Convex Hull,1,50,1.0
8,size_equate_1_169,size,Average Diameter,Convex Hull,1,50,1.0
9,size_equate_1_170,size,Average Diameter,Convex Hull,1,50,1.0
10,size_equate_1_171,size,Average Diameter,Convex Hull,1,50,1.0
11,size_equate_1_172,size,Average Diameter,Convex Hull,1,50,1.0
12,size_equate_1_173,size,Average Diameter,Convex Hull,1,50,1.0
13,size_equate_1_174,size,Average Diameter,Convex Hull,1,50,0.95
14,size_equate_1_175,size,Average Diameter,Convex Hull,1,50,1.0
15,size_equate_1_176,size,Average Diameter,Convex Hull,1,50,1.0
16,size_equate_1_177,size,Average Diameter,Convex Hull,1,50,0.85
17,size_equate_1_178,size,Average Diameter,Convex Hull,1,50,1.0
18,size_equate_1_179,size,Average Diameter,Convex Hull,1,50,1.0
19,size_equate_1_180,size,Average Diameter,Convex Hull,1,50,1.0
20,size_equate_1_161,size,Average Diameter,Convex Hull,0,50,1.0
21,size_equate_1_162,size,Average Diameter,Convex Hull,0,50,1.0
22,size_equate_1_163,size,Average Diameter,Convex Hull,0,50,1.0
23,size_equate_1_164,size,Average Diameter,Convex Hull,0,50,1.0
24,size_equate_1_165,size,Average Diameter,Convex Hull,0,50,1.0
25,size_equate_1_166,size,Average Diameter,Convex Hull,0,50,1.0
26,size_equate_1_167,size,Average Diameter,Convex Hull,0,50,1.0
27,size_equate_1_168,size,Average Diameter,Convex Hull,0,50,1.0
28,size_equate_1_169,size,Average Diameter,Convex Hull,0,50,1.0
29,size_equate_1_170,size,Average Diameter,Convex Hull,0,50,1.0
30,size_equate_1_171,size,Average Diameter,Convex Hull,0,50,0.95
31,size_equate_1_172,size,Average Diameter,Convex Hull,0,50,1.0
32,size_equate_1_173,size,Average Diameter,Convex Hull,0,50,1.0
33,size_equate_1_174,size,Average Diameter,Convex Hull,0,50,1.0
