,Task,Train,Congruity,Test,Ratio,Accuracy,std
225,size-count,AD-controlled,Congruent,CH-controlled,63,0.8375,0.09579995605
226,size-count,AD-controlled,Congruent,CH-controlled,71,0.875,0.149120227
227,size-count,AD-controlled,Congruent,CH-controlled,75,0.88,0.1787382679
228,size-count,AD-controlled,Congruent,CH-controlled,86,0.8275,0.1551527261
229,size-count,AD-controlled,Congruent,TS-controlled,50,0.9475,0.08503095412
230,size-count,AD-controlled,Congruent,TS-controlled,56,0.77,0.1600986538
231,size-count,AD-controlled,Congruent,TS-controlled,63,0.8375,0.1890941008
232,size-count,AD-controlled,Congruent,TS-controlled,71,0.6525,0.1534472308
233,size-count,AD-controlled,Congruent,TS-controlled,75,0.6925,0.2110593581
234,size-count,AD-controlled,Congruent,TS-controlled,86,0.545,0.1011772806
253,size-count,CH-controlled,Congruent,AD-controlled,50,0.65,0.1521771821
254,size-count,CH-controlled,Congruent,AD-controlled,56,0.955,0.0841364806
255,size-count,CH-controlled,Congruent,AD-controlled,63,0.8225,0.1105905202
256,size-count,CH-controlled,Congruent,AD-controlled,71,0.88,0.09090191359
257,size-count,CH-controlled,Congruent,AD-controlled,75,0.845,0.08720815993
258,size-count,CH-controlled,Congruent,AD-controlled,86,0.805,0.07762934876
259,size-count,CH-controlled,Congruent,CH-controlled,50,0.75,0.1246046379
260,size-count,CH-controlled,Congruent,CH-controlled,56,0.88,0.07677718959
261,size-count,CH-controlled,Congruent,CH-controlled,63,0.82,0.1116856491
262,size-count,CH-controlled,Congruent,CH-controlled,71,0.845,0.06863327412
263,size-count,CH-controlled,Congruent,CH-controlled,75,0.925,0.07521897857
264,size-count,CH-controlled,Congruent,CH-controlled,86,0.8225,0.06381511123
265,size-count,CH-controlled,Congruent,TS-controlled,50,0.7475,0.1219091551
266,size-count,CH-controlled,Congruent,TS-controlled,56,0.7225,0.1208250148
267,size-count,CH-controlled,Congruent,TS-controlled,63,0.795,0.0841364806
268,size-count,CH-controlled,Congruent,TS-controlled,71,0.685,0.09746794345
269,size-count,CH-controlled,Congruent,TS-controlled,75,0.635,0.1125073097
270,size-count,CH-controlled,Congruent,TS-controlled,86,0.5575,0.07826237921
289,size-count,TS-controlled,Congruent,AD-controlled,50,0.8236842105,0.142758947
290,size-count,TS-controlled,Congruent,AD-controlled,56,0.9657894737,0.0817391372
291,size-count,TS-controlled,Congruent,AD-controlled,63,0.9710526316,0.08549819601
292,size-count,TS-controlled,Congruent,AD-controlled,71,0.8552631579,0.07433919417
293,size-count,TS-controlled,Congruent,AD-controlled,75,0.9236842105,0.09911892556
294,size-count,TS-controlled,Congruent,AD-controlled,86,0.8289473684,0.07873265148
295,size-count,TS-controlled,Congruent,CH-controlled,50,0.8631578947,0.1690184944
296,size-count,TS-controlled,Congruent,CH-controlled,56,0.9315789474,0.07112298877
297,size-count,TS-controlled,Congruent,CH-controlled,63,0.7631578947,0.05735393347
298,size-count,TS-controlled,Congruent,CH-controlled,71,0.7921052632,0.09318911163
299,size-count,TS-controlled,Congruent,CH-controlled,75,0.9052631579,0.07798635358
300,size-count,TS-controlled,Congruent,CH-controlled,86,0.7842105263,0.1054785807
301,size-count,TS-controlled,Congruent,TS-controlled,50,0.9210526316,0.08549819601
302,size-count,TS-controlled,Congruent,TS-controlled,56,0.9657894737,0.149120227
303,size-count,TS-controlled,Congruent,TS-controlled,63,0.9578947368,0.1483830983
304,size-count,TS-controlled,Congruent,TS-controlled,71,0.8684210526,0.1303952606
305,size-count,TS-controlled,Congruent,TS-controlled,75,0.8684210526,0.1376494403
306,size-count,TS-controlled,Congruent,TS-controlled,86,0.8947368421,0.1413179402
