,Task,Train,Congruity,Test,Ratio,Accuracy,std
105,colors-count,TS-controlled,Incongruent,TS-controlled,63,0.8075,0.155829697865465
106,colors-count,TS-controlled,Incongruent,TS-controlled,71,0.585,0.09333020044867293
107,colors-count,TS-controlled,Incongruent,TS-controlled,75,0.695,0.09583428679922333
108,colors-count,TS-controlled,Incongruent,TS-controlled,86,0.595,0.09854200279976795
109,count,AD-controlled,Congruent,AD-controlled,50,0.96,0.14473205733717956
110,count,AD-controlled,Congruent,AD-controlled,56,0.9775,0.07859791077978706
111,count,AD-controlled,Congruent,AD-controlled,63,0.9725,0.08187763655859304
112,count,AD-controlled,Congruent,AD-controlled,71,0.9425,0.11502288101892916
113,count,AD-controlled,Congruent,AD-controlled,75,0.9575,0.10547511554864493
114,count,AD-controlled,Congruent,AD-controlled,86,0.9025,0.14093204782895602
115,count,AD-controlled,Congruent,CH-controlled,50,0.8975,0.14552536403990668
116,count,AD-controlled,Congruent,CH-controlled,56,0.9475,0.12924375175775832
117,count,AD-controlled,Congruent,CH-controlled,63,0.85,0.09459053029269172
118,count,AD-controlled,Congruent,CH-controlled,71,0.93,0.16009865379624033
119,count,AD-controlled,Congruent,CH-controlled,75,0.925,0.18027756377319948
120,count,AD-controlled,Congruent,CH-controlled,86,0.88,0.13218806379747874
121,count,AD-controlled,Congruent,TS-controlled,50,0.925,0.15601956692401725
122,count,AD-controlled,Congruent,TS-controlled,56,0.7875,0.12234012123239822
123,count,AD-controlled,Congruent,TS-controlled,63,0.88,0.17350868323485927
124,count,AD-controlled,Congruent,TS-controlled,71,0.64,0.0954215025971334
125,count,AD-controlled,Congruent,TS-controlled,75,0.7575000000000001,0.15413169352008177
126,count,AD-controlled,Congruent,TS-controlled,86,0.51,0.061984717980788584
127,count,AD-controlled,Incongruent,AD-controlled,50,0.36,0.16827296120792615
128,count,AD-controlled,Incongruent,AD-controlled,56,0.755,0.16214029013237433
129,count,AD-controlled,Incongruent,AD-controlled,63,0.6675,0.12594380534692112
130,count,AD-controlled,Incongruent,AD-controlled,71,0.7,0.12030662579644695
131,count,AD-controlled,Incongruent,AD-controlled,75,0.6825,0.13206358117847708
132,count,AD-controlled,Incongruent,AD-controlled,86,0.8525,0.12404901408208305
133,count,AD-controlled,Incongruent,CH-controlled,50,0.2325,0.11951106533221978
134,count,AD-controlled,Incongruent,CH-controlled,56,0.2525,0.12615258096531567
135,count,AD-controlled,Incongruent,CH-controlled,63,0.255,0.142256255065509
136,count,AD-controlled,Incongruent,CH-controlled,71,0.255,0.12763022245616643
137,count,AD-controlled,Incongruent,CH-controlled,75,0.33999999999999997,0.09947229183096801
138,count,AD-controlled,Incongruent,CH-controlled,86,0.3575,0.09634778013448003
139,count,AD-controlled,Incongruent,TS-controlled,50,0.7375,0.1356029420578213
140,count,AD-controlled,Incongruent,TS-controlled,56,0.4075,0.13791206198917216
141,count,AD-controlled,Incongruent,TS-controlled,63,0.47500000000000003,0.06177207681213422
142,count,AD-controlled,Incongruent,TS-controlled,71,0.3825,0.11035230663174816
143,count,AD-controlled,Incongruent,TS-controlled,75,0.445,0.09719757415209823
144,count,AD-controlled,Incongruent,TS-controlled,86,0.365,0.07451598203705947
145,count,CH-controlled,Congruent,AD-controlled,50,0.8125,0.1669186691333931
146,count,CH-controlled,Congruent,AD-controlled,56,0.9225,0.09385739462778513
147,count,CH-controlled,Congruent,AD-controlled,63,0.8875,0.08409737463828837
148,count,CH-controlled,Congruent,AD-controlled,71,0.8775,0.0865645484747167
149,count,CH-controlled,Congruent,AD-controlled,75,0.84,0.0736277979541623
150,count,CH-controlled,Congruent,AD-controlled,86,0.7625,0.07926471306225807
151,count,CH-controlled,Congruent,CH-controlled,50,0.785,0.12886141066236523
152,count,CH-controlled,Congruent,CH-controlled,56,0.8325,0.0949722951291863
153,count,CH-controlled,Congruent,CH-controlled,63,0.8575,0.10915344100948227
154,count,CH-controlled,Congruent,CH-controlled,71,0.825,0.0658946527660469
155,count,CH-controlled,Congruent,CH-controlled,75,0.8775,0.08656454847471669
156,count,CH-controlled,Congruent,CH-controlled,86,0.7525,0.061718802048612305
157,count,CH-controlled,Congruent,TS-controlled,50,0.81,0.12204399551844107
158,count,CH-controlled,Congruent,TS-controlled,56,0.7775,0.12404901408208305
159,count,CH-controlled,Congruent,TS-controlled,63,0.88,0.1018254440335596
160,count,CH-controlled,Congruent,TS-controlled,71,0.7125,0.08564768715960445
161,count,CH-controlled,Congruent,TS-controlled,75,0.6849999999999999,0.09610849132757812
162,count,CH-controlled,Congruent,TS-controlled,86,0.635,0.07626132357679226
163,count,CH-controlled,Incongruent,AD-controlled,50,0.42,0.10809352675491622
164,count,CH-controlled,Incongruent,AD-controlled,56,0.735,0.07089651464968982
165,count,CH-controlled,Incongruent,AD-controlled,63,0.7625,0.06663924874789791
166,count,CH-controlled,Incongruent,AD-controlled,71,0.7075,0.06340139463848775
167,count,CH-controlled,Incongruent,AD-controlled,75,0.685,0.08444867640980776
168,count,CH-controlled,Incongruent,AD-controlled,86,0.71,0.09679060415469871
169,count,CH-controlled,Incongruent,CH-controlled,50,0.48,0.10686932502630933
170,count,CH-controlled,Incongruent,CH-controlled,56,0.7325,0.08315331433088237
171,count,CH-controlled,Incongruent,CH-controlled,63,0.5775,0.07158910531638177
172,count,CH-controlled,Incongruent,CH-controlled,71,0.555,0.07762934876368398
173,count,CH-controlled,Incongruent,CH-controlled,75,0.665,0.07089651464968982
174,count,CH-controlled,Incongruent,CH-controlled,86,0.61,0.0736277979541623
175,count,CH-controlled,Incongruent,TS-controlled,50,0.6775,0.09662052740380521
176,count,CH-controlled,Incongruent,TS-controlled,56,0.55,0.1513100685417374
177,count,CH-controlled,Incongruent,TS-controlled,63,0.5525,0.08807144229185995
178,count,CH-controlled,Incongruent,TS-controlled,71,0.4825,0.08155559937535671
179,count,CH-controlled,Incongruent,TS-controlled,75,0.5775,0.07859791077978706
180,count,CH-controlled,Incongruent,TS-controlled,86,0.4275,0.089552983434977
181,count,TS-controlled,Congruent,AD-controlled,50,0.8150000000000001,0.15985190514644285
182,count,TS-controlled,Congruent,AD-controlled,56,0.9375,0.14498185004373915
183,count,TS-controlled,Congruent,AD-controlled,63,0.95,0.17091087243294228
184,count,TS-controlled,Congruent,AD-controlled,71,0.925,0.15935726165476508
185,count,TS-controlled,Congruent,AD-controlled,75,0.935,0.15312533566021214
186,count,TS-controlled,Congruent,AD-controlled,86,0.8525,0.13810274588527424
187,count,TS-controlled,Congruent,CH-controlled,50,0.9025,0.1312640969873131
188,count,TS-controlled,Congruent,CH-controlled,56,0.8925,0.1462469072997335
189,count,TS-controlled,Congruent,CH-controlled,63,0.8,0.12030662579644696
190,count,TS-controlled,Congruent,CH-controlled,71,0.84,0.14473205733717956
191,count,TS-controlled,Congruent,CH-controlled,75,0.88,0.15761378513048246
192,count,TS-controlled,Congruent,CH-controlled,86,0.86,0.1500876936643164
