,UNIQUE_SUBJECT_UID,Task,Generations,Train,Test,Congruity,Ratio,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Layers,Neurons,Activation,Optimizer
64,size_equate_1_125,size,7,AD-controlled,AD-controlled,Incongruent,56,0.8,0.8,0.6072,0.6072,4,"[32, 16, 16, 32]",elu,nadam
65,size_equate_1_126,size,7,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.4101,0.4101,4,"[64, 16, 64, 64]",elu,adam
66,size_equate_1_127,size,7,AD-controlled,AD-controlled,Incongruent,56,0.8,0.8,0.623,0.623,4,"[64, 16, 64, 16]",elu,adam
67,size_equate_1_128,size,7,AD-controlled,AD-controlled,Incongruent,56,0.65,0.65,,,4,"[64, 16, 64, 32]",elu,sgd
68,size_equate_1_129,size,7,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.3931,0.3931,4,"[128, 16, 16, 64]",elu,nadam
69,size_equate_1_130,size,7,AD-controlled,AD-controlled,Incongruent,56,0.65,0.65,0.6802,0.6802,4,"[16, 64, 16, 16]",relu,adam
70,size_equate_1_131,size,7,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.5649,0.5649,4,"[64, 16, 16, 128]",relu,adam
71,size_equate_1_132,size,7,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.4521,0.4521,4,"[64, 16, 64, 64]",elu,nadam
72,size_equate_1_133,size,7,AD-controlled,AD-controlled,Incongruent,56,0.6,0.6,0.6707,0.6707,4,"[32, 64, 16, 16]",relu,adam
73,size_equate_1_134,size,7,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.6127,0.6127,4,"[128, 32, 16, 16]",elu,adam
74,size_equate_1_135,size,7,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.5745,0.5745,4,"[64, 32, 64, 32]",elu,adam
75,size_equate_1_136,size,7,AD-controlled,AD-controlled,Incongruent,56,0.8,0.8,0.6545,0.6545,5,"[64, 64, 64, 128, 64]",elu,adam
76,size_equate_1_137,size,7,AD-controlled,AD-controlled,Incongruent,56,0.9,0.9,0.6465,0.6465,4,"[64, 16, 64, 128]",elu,adagrad
77,size_equate_1_138,size,7,AD-controlled,AD-controlled,Incongruent,56,0.95,0.95,0.3789,0.3789,4,"[128, 64, 16, 128]",elu,adam
78,size_equate_1_139,size,7,AD-controlled,AD-controlled,Incongruent,56,0.75,0.75,0.5787,0.5787,5,"[64, 16, 16, 64, 32]",elu,adam
79,size_equate_1_140,size,7,AD-controlled,AD-controlled,Incongruent,56,0.85,0.85,0.6117,0.6117,4,"[64, 64, 64, 32]",elu,adam
80,size_equate_1_121,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1397,0.1397,4,"[128, 16, 16, 128]",elu,adam
81,size_equate_1_122,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.5398,0.5398,4,"[16, 16, 64, 32]",relu,adagrad
82,size_equate_1_123,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0921,0.0921,4,"[16, 16, 64, 128]",relu,adam
83,size_equate_1_124,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.5529,0.5529,4,"[64, 16, 128, 16]",elu,adam
84,size_equate_1_125,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4341,0.4341,4,"[32, 16, 16, 32]",elu,nadam
85,size_equate_1_126,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0876,0.0876,4,"[64, 16, 64, 64]",elu,adam
86,size_equate_1_127,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4337,0.4337,4,"[64, 16, 64, 16]",elu,adam
87,size_equate_1_128,size,7,AD-controlled,AD-controlled,Congruent,63,0.35,0.35,,,4,"[64, 16, 64, 32]",elu,sgd
88,size_equate_1_129,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1081,0.1081,4,"[128, 16, 16, 64]",elu,nadam
89,size_equate_1_130,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.6141,0.6141,4,"[16, 64, 16, 16]",relu,adam
90,size_equate_1_131,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2992,0.2992,4,"[64, 16, 16, 128]",relu,adam
91,size_equate_1_132,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1176,0.1176,4,"[64, 16, 64, 64]",elu,nadam
92,size_equate_1_133,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.6392,0.6392,4,"[32, 64, 16, 16]",relu,adam
93,size_equate_1_134,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.5011,0.5011,4,"[128, 32, 16, 16]",elu,adam
94,size_equate_1_135,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.335,0.335,4,"[64, 32, 64, 32]",elu,adam
95,size_equate_1_136,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0644,0.0644,5,"[64, 64, 64, 128, 64]",elu,adam
96,size_equate_1_137,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2213,0.2213,4,"[64, 16, 64, 128]",elu,adagrad
97,size_equate_1_138,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0596,0.0596,4,"[128, 64, 16, 128]",elu,adam
98,size_equate_1_139,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.253,0.253,5,"[64, 16, 16, 64, 32]",elu,adam
99,size_equate_1_140,size,7,AD-controlled,AD-controlled,Congruent,63,1.0,1.0,0.2619,0.2619,4,"[64, 64, 64, 32]",elu,adam
100,size_equate_1_121,size,7,AD-controlled,AD-controlled,Incongruent,63,0.75,0.75,0.4885,0.4885,4,"[128, 16, 16, 128]",elu,adam
101,size_equate_1_122,size,7,AD-controlled,AD-controlled,Incongruent,63,0.35,0.35,0.6977,0.6977,4,"[16, 16, 64, 32]",relu,adagrad
102,size_equate_1_123,size,7,AD-controlled,AD-controlled,Incongruent,63,0.9,0.9,0.5649,0.5649,4,"[16, 16, 64, 128]",relu,adam
103,size_equate_1_124,size,7,AD-controlled,AD-controlled,Incongruent,63,0.65,0.65,0.6771,0.6771,4,"[64, 16, 128, 16]",elu,adam
104,size_equate_1_125,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6282,0.6282,4,"[32, 16, 16, 32]",elu,nadam
105,size_equate_1_126,size,7,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.4779,0.4779,4,"[64, 16, 64, 64]",elu,adam
106,size_equate_1_127,size,7,AD-controlled,AD-controlled,Incongruent,63,0.75,0.75,0.6355,0.6355,4,"[64, 16, 64, 16]",elu,adam
107,size_equate_1_128,size,7,AD-controlled,AD-controlled,Incongruent,63,0.65,0.65,,,4,"[64, 16, 64, 32]",elu,sgd
108,size_equate_1_129,size,7,AD-controlled,AD-controlled,Incongruent,63,0.8,0.8,0.4926,0.4926,4,"[128, 16, 16, 64]",elu,nadam
109,size_equate_1_130,size,7,AD-controlled,AD-controlled,Incongruent,63,0.55,0.55,0.6837,0.6837,4,"[16, 64, 16, 16]",relu,adam
110,size_equate_1_131,size,7,AD-controlled,AD-controlled,Incongruent,63,0.75,0.75,0.5989,0.5989,4,"[64, 16, 16, 128]",relu,adam
111,size_equate_1_132,size,7,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,0.5055,0.5055,4,"[64, 16, 64, 64]",elu,nadam
112,size_equate_1_133,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6758,0.6758,4,"[32, 64, 16, 16]",relu,adam
113,size_equate_1_134,size,7,AD-controlled,AD-controlled,Incongruent,63,0.9,0.9,0.6318,0.6318,4,"[128, 32, 16, 16]",elu,adam
114,size_equate_1_135,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6007,0.6007,4,"[64, 32, 64, 32]",elu,adam
115,size_equate_1_136,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.7085,0.7085,5,"[64, 64, 64, 128, 64]",elu,adam
116,size_equate_1_137,size,7,AD-controlled,AD-controlled,Incongruent,63,0.75,0.75,0.6558,0.6558,4,"[64, 16, 64, 128]",elu,adagrad
117,size_equate_1_138,size,7,AD-controlled,AD-controlled,Incongruent,63,0.85,0.85,0.4752,0.4752,4,"[128, 64, 16, 128]",elu,adam
118,size_equate_1_139,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6104,0.6104,5,"[64, 16, 16, 64, 32]",elu,adam
119,size_equate_1_140,size,7,AD-controlled,AD-controlled,Incongruent,63,0.7,0.7,0.6272,0.6272,4,"[64, 64, 64, 32]",elu,adam
120,size_equate_1_121,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.1217,0.1217,4,"[128, 16, 16, 128]",elu,adam
121,size_equate_1_122,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.5373,0.5373,4,"[16, 16, 64, 32]",relu,adagrad
122,size_equate_1_123,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.143,0.143,4,"[16, 16, 64, 128]",relu,adam
123,size_equate_1_124,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.5584,0.5584,4,"[64, 16, 128, 16]",elu,adam
124,size_equate_1_125,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4404,0.4404,4,"[32, 16, 16, 32]",elu,nadam
125,size_equate_1_126,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.0791,0.0791,4,"[64, 16, 64, 64]",elu,adam
126,size_equate_1_127,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4302,0.4302,4,"[64, 16, 64, 16]",elu,adam
127,size_equate_1_128,size,7,AD-controlled,AD-controlled,Congruent,71,0.35,0.35,,,4,"[64, 16, 64, 32]",elu,sgd
128,size_equate_1_129,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.0922,0.0922,4,"[128, 16, 16, 64]",elu,nadam
129,size_equate_1_130,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.6087,0.6087,4,"[16, 64, 16, 16]",relu,adam
130,size_equate_1_131,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.3177,0.3177,4,"[64, 16, 16, 128]",relu,adam
131,size_equate_1_132,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.1205,0.1205,4,"[64, 16, 64, 64]",elu,nadam
132,size_equate_1_133,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.6459,0.6459,4,"[32, 64, 16, 16]",relu,adam
133,size_equate_1_134,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.49,0.49,4,"[128, 32, 16, 16]",elu,adam
134,size_equate_1_135,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.3339,0.3339,4,"[64, 32, 64, 32]",elu,adam
135,size_equate_1_136,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.077,0.077,5,"[64, 64, 64, 128, 64]",elu,adam
136,size_equate_1_137,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.2479,0.2479,4,"[64, 16, 64, 128]",elu,adagrad
137,size_equate_1_138,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.046,0.046,4,"[128, 64, 16, 128]",elu,adam
138,size_equate_1_139,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.2549,0.2549,5,"[64, 16, 16, 64, 32]",elu,adam
139,size_equate_1_140,size,7,AD-controlled,AD-controlled,Congruent,71,1.0,1.0,0.2721,0.2721,4,"[64, 64, 64, 32]",elu,adam
140,size_equate_1_121,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.5666,0.5666,4,"[128, 16, 16, 128]",elu,adam
141,size_equate_1_122,size,7,AD-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.6982,0.6982,4,"[16, 16, 64, 32]",relu,adagrad
142,size_equate_1_123,size,7,AD-controlled,AD-controlled,Incongruent,71,0.75,0.75,0.6359,0.6359,4,"[16, 16, 64, 128]",relu,adam
143,size_equate_1_124,size,7,AD-controlled,AD-controlled,Incongruent,71,0.65,0.65,0.6809,0.6809,4,"[64, 16, 128, 16]",elu,adam
144,size_equate_1_125,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.6576,0.6576,4,"[32, 16, 16, 32]",elu,nadam
145,size_equate_1_126,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.556,0.556,4,"[64, 16, 64, 64]",elu,adam
146,size_equate_1_127,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.6369,0.6369,4,"[64, 16, 64, 16]",elu,adam
147,size_equate_1_128,size,7,AD-controlled,AD-controlled,Incongruent,71,0.65,0.65,,,4,"[64, 16, 64, 32]",elu,sgd
148,size_equate_1_129,size,7,AD-controlled,AD-controlled,Incongruent,71,0.65,0.65,0.5568,0.5568,4,"[128, 16, 16, 64]",elu,nadam
149,size_equate_1_130,size,7,AD-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.6914,0.6914,4,"[16, 64, 16, 16]",relu,adam
150,size_equate_1_131,size,7,AD-controlled,AD-controlled,Incongruent,71,0.75,0.75,0.6199,0.6199,4,"[64, 16, 16, 128]",relu,adam
151,size_equate_1_132,size,7,AD-controlled,AD-controlled,Incongruent,71,0.85,0.85,0.6036,0.6036,4,"[64, 16, 64, 64]",elu,nadam
152,size_equate_1_133,size,7,AD-controlled,AD-controlled,Incongruent,71,0.6,0.6,0.6764,0.6764,4,"[32, 64, 16, 16]",relu,adam
153,size_equate_1_134,size,7,AD-controlled,AD-controlled,Incongruent,71,0.65,0.65,0.6583,0.6583,4,"[128, 32, 16, 16]",elu,adam
154,size_equate_1_135,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.6486,0.6486,4,"[64, 32, 64, 32]",elu,adam
155,size_equate_1_136,size,7,AD-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.7865,0.7865,5,"[64, 64, 64, 128, 64]",elu,adam
156,size_equate_1_137,size,7,AD-controlled,AD-controlled,Incongruent,71,0.7,0.7,0.7349,0.7349,4,"[64, 16, 64, 128]",elu,adagrad
157,size_equate_1_138,size,7,AD-controlled,AD-controlled,Incongruent,71,0.8,0.8,0.5781,0.5781,4,"[128, 64, 16, 128]",elu,adam
158,size_equate_1_139,size,7,AD-controlled,AD-controlled,Incongruent,71,0.45,0.45,0.6652,0.6652,5,"[64, 16, 16, 64, 32]",elu,adam
159,size_equate_1_140,size,7,AD-controlled,AD-controlled,Incongruent,71,0.65,0.65,0.6757,0.6757,4,"[64, 64, 64, 32]",elu,adam
160,size_equate_1_121,size,7,AD-controlled,AD-controlled,Congruent,75,0.9,0.9,0.2557,0.2557,4,"[128, 16, 16, 128]",elu,adam
161,size_equate_1_122,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.5795,0.5795,4,"[16, 16, 64, 32]",relu,adagrad
162,size_equate_1_123,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.2809,0.2809,4,"[16, 16, 64, 128]",relu,adam
163,size_equate_1_124,size,7,AD-controlled,AD-controlled,Congruent,75,0.85,0.85,0.606,0.606,4,"[64, 16, 128, 16]",elu,adam
164,size_equate_1_125,size,7,AD-controlled,AD-controlled,Congruent,75,1.0,1.0,0.4981,0.4981,4,"[32, 16, 16, 32]",elu,nadam
165,size_equate_1_126,size,7,AD-controlled,AD-controlled,Congruent,75,1.0,1.0,0.1746,0.1746,4,"[64, 16, 64, 64]",elu,adam
166,size_equate_1_127,size,7,AD-controlled,AD-controlled,Congruent,75,1.0,1.0,0.516,0.516,4,"[64, 16, 64, 16]",elu,adam
167,size_equate_1_128,size,7,AD-controlled,AD-controlled,Congruent,75,0.35,0.35,,,4,"[64, 16, 64, 32]",elu,sgd
168,size_equate_1_129,size,7,AD-controlled,AD-controlled,Congruent,75,1.0,1.0,0.1948,0.1948,4,"[128, 16, 16, 64]",elu,nadam
169,size_equate_1_130,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.6434,0.6434,4,"[16, 64, 16, 16]",relu,adam
170,size_equate_1_131,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.4128,0.4128,4,"[64, 16, 16, 128]",relu,adam
171,size_equate_1_132,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.253,0.253,4,"[64, 16, 64, 64]",elu,nadam
172,size_equate_1_133,size,7,AD-controlled,AD-controlled,Congruent,75,0.8,0.8,0.6652,0.6652,4,"[32, 64, 16, 16]",relu,adam
173,size_equate_1_134,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.5556,0.5556,4,"[128, 32, 16, 16]",elu,adam
174,size_equate_1_135,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.4391,0.4391,4,"[64, 32, 64, 32]",elu,adam
175,size_equate_1_136,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.232,0.232,5,"[64, 64, 64, 128, 64]",elu,adam
176,size_equate_1_137,size,7,AD-controlled,AD-controlled,Congruent,75,1.0,1.0,0.3995,0.3995,4,"[64, 16, 64, 128]",elu,adagrad
177,size_equate_1_138,size,7,AD-controlled,AD-controlled,Congruent,75,0.95,0.95,0.1723,0.1723,4,"[128, 64, 16, 128]",elu,adam
178,size_equate_1_139,size,7,AD-controlled,AD-controlled,Congruent,75,0.9,0.9,0.3862,0.3862,5,"[64, 16, 16, 64, 32]",elu,adam
