,UNIQUE_SUBJECT_UID,Task,Generations,Train,Test,Congruity,Ratio,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Layers,Neurons,Activation,Optimizer
2,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Congruent,50,0.5,0.5,0.7487,0.7487,2,"[64, 64]",sigmoid,adadelta
3,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0387,0.0387,3,"[64, 64, 128]",elu,adamax
4,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.5315,0.5315,3,"[64, 64, 16]",elu,adagrad
5,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3647,0.3647,5,"[128, 16, 16, 32, 64]",tanh,adamax
6,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2372,0.2372,3,"[64, 32, 128]",elu,adamax
7,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Congruent,50,0.5,0.5,0.7441,0.7441,2,"[64, 16]",sigmoid,nadam
8,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Congruent,50,0.5,0.5,0.6939,0.6939,5,"[64, 64, 128, 16, 16]",softplus,adagrad
9,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0445,0.0445,2,"[128, 16]",linear,rmsprop
10,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Congruent,50,0.95,0.95,0.2822,0.2822,5,"[16, 32, 64, 64, 16]",elu,adam
11,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Congruent,50,0.5,0.5,11951.4424,11951.4424,2,"[64, 16]",relu,sgd
12,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.4536,0.4536,3,"[64, 64, 16]",elu,nadam
13,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Congruent,50,0.95,0.95,0.3631,0.3631,3,"[64, 16, 128]",elu,adamax
14,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.4262,0.4262,2,"[64, 32]",tanh,adamax
15,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0165,0.0165,5,"[16, 32, 64, 128, 128]",tanh,adagrad
16,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0936,0.0936,2,"[64, 128]",elu,nadam
17,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.4397,0.4397,5,"[64, 16, 16, 64, 16]",tanh,nadam
18,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0772,0.0772,5,"[64, 128, 32, 64, 64]",linear,adam
19,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Congruent,50,0.5,0.5,24.9665,24.9665,5,"[64, 64, 64, 32, 32]",tanh,sgd
20,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.35,0.35,0.9371,0.9371,2,"[64, 32]",sigmoid,adam
21,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.4486,0.4486,2,"[64, 32]",linear,adamax
22,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.35,0.35,0.8463,0.8463,2,"[64, 64]",sigmoid,adadelta
23,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.039,0.039,3,"[64, 64, 128]",elu,adamax
24,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.518,0.518,3,"[64, 64, 16]",elu,adagrad
25,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.3924,0.3924,5,"[128, 16, 16, 32, 64]",tanh,adamax
26,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.0981,0.0981,3,"[64, 32, 128]",elu,adamax
27,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.65,0.65,0.6996,0.6996,2,"[64, 16]",sigmoid,nadam
28,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.65,0.65,0.6836,0.6836,5,"[64, 64, 128, 16, 16]",softplus,adagrad
29,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.0207,0.0207,2,"[128, 16]",linear,rmsprop
30,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.2531,0.2531,5,"[16, 32, 64, 64, 16]",elu,adam
31,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.35,0.35,15559.4229,15559.4229,2,"[64, 16]",relu,sgd
32,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.4566,0.4566,3,"[64, 64, 16]",elu,nadam
33,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.0971,0.0971,3,"[64, 16, 128]",elu,adamax
34,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.453,0.453,2,"[64, 32]",tanh,adamax
35,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.01,0.01,5,"[16, 32, 64, 128, 128]",tanh,adagrad
36,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.0932,0.0932,2,"[64, 128]",elu,nadam
37,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.4531,0.4531,5,"[64, 16, 16, 64, 16]",tanh,nadam
38,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Incongruent,50,1.0,1.0,0.0672,0.0672,5,"[64, 128, 32, 64, 64]",linear,adam
39,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Incongruent,50,0.65,0.65,24.9299,24.9299,5,"[64, 64, 64, 32, 32]",tanh,sgd
40,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,0.8225,0.8225,2,"[64, 32]",sigmoid,adam
41,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.5438,0.5438,2,"[64, 32]",linear,adamax
42,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,0.7488,0.7488,2,"[64, 64]",sigmoid,adadelta
43,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0692,0.0692,3,"[64, 64, 128]",elu,adamax
44,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.5498,0.5498,3,"[64, 64, 16]",elu,adagrad
45,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.3669,0.3669,5,"[128, 16, 16, 32, 64]",tanh,adamax
46,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2341,0.2341,3,"[64, 32, 128]",elu,adamax
47,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,0.7441,0.7441,2,"[64, 16]",sigmoid,nadam
48,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,0.694,0.694,5,"[64, 64, 128, 16, 16]",softplus,adagrad
49,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0711,0.0711,2,"[128, 16]",linear,rmsprop
50,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.2815,0.2815,5,"[16, 32, 64, 64, 16]",elu,adam
51,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,11905.0117,11905.0117,2,"[64, 16]",relu,sgd
52,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.4738,0.4738,3,"[64, 64, 16]",elu,nadam
53,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.3371,0.3371,3,"[64, 16, 128]",elu,adamax
54,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Congruent,56,0.95,0.95,0.4436,0.4436,2,"[64, 32]",tanh,adamax
55,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0246,0.0246,5,"[16, 32, 64, 128, 128]",tanh,adagrad
56,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.1495,0.1495,2,"[64, 128]",elu,nadam
57,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.4495,0.4495,5,"[64, 16, 16, 64, 16]",tanh,nadam
58,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Congruent,56,1.0,1.0,0.0941,0.0941,5,"[64, 128, 32, 64, 64]",linear,adam
59,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Congruent,56,0.5,0.5,24.9665,24.9665,5,"[64, 64, 64, 32, 32]",tanh,sgd
60,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,0.8225,0.8225,2,"[64, 32]",sigmoid,adam
61,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.4412,0.4412,2,"[64, 32]",linear,adamax
62,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,0.7488,0.7488,2,"[64, 64]",sigmoid,adadelta
63,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.03,0.03,3,"[64, 64, 128]",elu,adamax
64,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.5129,0.5129,3,"[64, 64, 16]",elu,adagrad
65,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.3535,0.3535,5,"[128, 16, 16, 32, 64]",tanh,adamax
66,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0814,0.0814,3,"[64, 32, 128]",elu,adamax
67,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,0.744,0.744,2,"[64, 16]",sigmoid,nadam
68,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,0.694,0.694,5,"[64, 64, 128, 16, 16]",softplus,adagrad
69,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0178,0.0178,2,"[128, 16]",linear,rmsprop
70,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.2257,0.2257,5,"[16, 32, 64, 64, 16]",elu,adam
71,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,11987.5049,11987.5049,2,"[64, 16]",relu,sgd
72,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.4516,0.4516,3,"[64, 64, 16]",elu,nadam
73,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0902,0.0902,3,"[64, 16, 128]",elu,adamax
74,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.439,0.439,2,"[64, 32]",tanh,adamax
75,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0092,0.0092,5,"[16, 32, 64, 128, 128]",tanh,adagrad
76,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0851,0.0851,2,"[64, 128]",elu,nadam
77,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.4407,0.4407,5,"[64, 16, 16, 64, 16]",tanh,nadam
78,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Incongruent,56,1.0,1.0,0.0484,0.0484,5,"[64, 128, 32, 64, 64]",linear,adam
79,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Incongruent,56,0.5,0.5,24.9665,24.9665,5,"[64, 64, 64, 32, 32]",tanh,sgd
80,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Congruent,63,0.65,0.65,0.7079,0.7079,2,"[64, 32]",sigmoid,adam
81,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Congruent,63,0.95,0.95,0.4957,0.4957,2,"[64, 32]",linear,adamax
82,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Congruent,63,0.65,0.65,0.6512,0.6512,2,"[64, 64]",sigmoid,adadelta
83,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0401,0.0401,3,"[64, 64, 128]",elu,adamax
84,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.5506,0.5506,3,"[64, 64, 16]",elu,adagrad
85,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3971,0.3971,5,"[128, 16, 16, 32, 64]",tanh,adamax
86,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1326,0.1326,3,"[64, 32, 128]",elu,adamax
87,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Congruent,63,0.35,0.35,0.7886,0.7886,2,"[64, 16]",sigmoid,nadam
88,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Congruent,63,0.35,0.35,0.7044,0.7044,5,"[64, 64, 128, 16, 16]",softplus,adagrad
89,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0306,0.0306,2,"[128, 16]",linear,rmsprop
90,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.3076,0.3076,5,"[16, 32, 64, 64, 16]",elu,adam
91,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Congruent,63,0.65,0.65,8344.916,8344.916,2,"[64, 16]",relu,sgd
92,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4784,0.4784,3,"[64, 64, 16]",elu,nadam
93,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1834,0.1834,3,"[64, 16, 128]",elu,adamax
94,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4786,0.4786,2,"[64, 32]",tanh,adamax
95,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0102,0.0102,5,"[16, 32, 64, 128, 128]",tanh,adagrad
96,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.1249,0.1249,2,"[64, 128]",elu,nadam
97,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.4607,0.4607,5,"[64, 16, 16, 64, 16]",tanh,nadam
98,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Congruent,63,1.0,1.0,0.0774,0.0774,5,"[64, 128, 32, 64, 64]",linear,adam
99,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Congruent,63,0.35,0.35,25.0031,25.0031,5,"[64, 64, 64, 32, 32]",tanh,sgd
100,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.35,0.35,0.9371,0.9371,2,"[64, 32]",sigmoid,adam
101,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.4165,0.4165,2,"[64, 32]",linear,adamax
102,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.35,0.35,0.8464,0.8464,2,"[64, 64]",sigmoid,adadelta
103,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0271,0.0271,3,"[64, 64, 128]",elu,adamax
104,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.5003,0.5003,3,"[64, 64, 16]",elu,adagrad
105,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.3531,0.3531,5,"[128, 16, 16, 32, 64]",tanh,adamax
106,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0839,0.0839,3,"[64, 32, 128]",elu,adamax
107,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.65,0.65,0.6996,0.6996,2,"[64, 16]",sigmoid,nadam
108,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.65,0.65,0.6835,0.6835,5,"[64, 64, 128, 16, 16]",softplus,adagrad
109,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0124,0.0124,2,"[128, 16]",linear,rmsprop
110,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.2084,0.2084,5,"[16, 32, 64, 64, 16]",elu,adam
111,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.35,0.35,15571.3691,15571.3691,2,"[64, 16]",relu,sgd
112,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.4337,0.4337,3,"[64, 64, 16]",elu,nadam
113,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0905,0.0905,3,"[64, 16, 128]",elu,adamax
114,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.431,0.431,2,"[64, 32]",tanh,adamax
115,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.006,0.006,5,"[16, 32, 64, 128, 128]",tanh,adagrad
116,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0722,0.0722,2,"[64, 128]",elu,nadam
117,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.4334,0.4334,5,"[64, 16, 16, 64, 16]",tanh,nadam
118,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Incongruent,63,1.0,1.0,0.0442,0.0442,5,"[64, 128, 32, 64, 64]",linear,adam
119,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Incongruent,63,0.65,0.65,24.9299,24.9299,5,"[64, 64, 64, 32, 32]",tanh,sgd
120,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Congruent,71,0.45,0.45,0.8607,0.8607,2,"[64, 32]",sigmoid,adam
121,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4709,0.4709,2,"[64, 32]",linear,adamax
122,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Congruent,71,0.45,0.45,0.7813,0.7813,2,"[64, 64]",sigmoid,adadelta
123,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.0652,0.0652,3,"[64, 64, 128]",elu,adamax
124,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.5425,0.5425,3,"[64, 64, 16]",elu,adagrad
125,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4117,0.4117,5,"[128, 16, 16, 32, 64]",tanh,adamax
126,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.1621,0.1621,3,"[64, 32, 128]",elu,adamax
127,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Congruent,71,0.55,0.55,0.7293,0.7293,2,"[64, 16]",sigmoid,nadam
128,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Congruent,71,0.55,0.55,0.6905,0.6905,5,"[64, 64, 128, 16, 16]",softplus,adagrad
129,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.053,0.053,2,"[128, 16]",linear,rmsprop
130,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.2951,0.2951,5,"[16, 32, 64, 64, 16]",elu,adam
131,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Congruent,71,0.45,0.45,13141.8975,13141.8975,2,"[64, 16]",relu,sgd
132,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4783,0.4783,3,"[64, 64, 16]",elu,nadam
133,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Congruent,71,0.95,0.95,0.1914,0.1914,3,"[64, 16, 128]",elu,adamax
134,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4938,0.4938,2,"[64, 32]",tanh,adamax
135,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.0265,0.0265,5,"[16, 32, 64, 128, 128]",tanh,adagrad
136,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.1328,0.1328,2,"[64, 128]",elu,nadam
137,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.4668,0.4668,5,"[64, 16, 16, 64, 16]",tanh,nadam
138,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Congruent,71,1.0,1.0,0.094,0.094,5,"[64, 128, 32, 64, 64]",linear,adam
139,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Congruent,71,0.55,0.55,24.9543,24.9543,5,"[64, 64, 64, 32, 32]",tanh,sgd
140,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.8225,0.8225,2,"[64, 32]",sigmoid,adam
141,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.4417,0.4417,2,"[64, 32]",linear,adamax
142,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.7487,0.7487,2,"[64, 64]",sigmoid,adadelta
143,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.0484,0.0484,3,"[64, 64, 128]",elu,adamax
144,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.5275,0.5275,3,"[64, 64, 16]",elu,adagrad
145,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.4014,0.4014,5,"[128, 16, 16, 32, 64]",tanh,adamax
146,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.1,0.1,3,"[64, 32, 128]",elu,adamax
147,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.7441,0.7441,2,"[64, 16]",sigmoid,nadam
148,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,0.6939,0.6939,5,"[64, 64, 128, 16, 16]",softplus,adagrad
149,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.0334,0.0334,2,"[128, 16]",linear,rmsprop
150,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.274,0.274,5,"[16, 32, 64, 64, 16]",elu,adam
151,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,11969.9141,11969.9141,2,"[64, 16]",relu,sgd
152,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.4718,0.4718,3,"[64, 64, 16]",elu,nadam
153,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.1029,0.1029,3,"[64, 16, 128]",elu,adamax
154,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.4581,0.4581,2,"[64, 32]",tanh,adamax
155,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.0184,0.0184,5,"[16, 32, 64, 128, 128]",tanh,adagrad
156,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.1173,0.1173,2,"[64, 128]",elu,nadam
157,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.4689,0.4689,5,"[64, 16, 16, 64, 16]",tanh,nadam
158,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Incongruent,71,1.0,1.0,0.083,0.083,5,"[64, 128, 32, 64, 64]",linear,adam
159,colors_equate_2_60,colors,3,TS-controlled,AD-controlled,Incongruent,71,0.5,0.5,24.9665,24.9665,5,"[64, 64, 64, 32, 32]",tanh,sgd
160,colors_equate_2_41,colors,3,TS-controlled,AD-controlled,Congruent,75,0.55,0.55,0.7843,0.7843,2,"[64, 32]",sigmoid,adam
161,colors_equate_2_42,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.472,0.472,2,"[64, 32]",linear,adamax
162,colors_equate_2_43,colors,3,TS-controlled,AD-controlled,Congruent,75,0.55,0.55,0.7163,0.7163,2,"[64, 64]",sigmoid,adadelta
163,colors_equate_2_44,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.0508,0.0508,3,"[64, 64, 128]",elu,adamax
164,colors_equate_2_45,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.5334,0.5334,3,"[64, 64, 16]",elu,adagrad
165,colors_equate_2_46,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.3683,0.3683,5,"[128, 16, 16, 32, 64]",tanh,adamax
166,colors_equate_2_47,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.1494,0.1494,3,"[64, 32, 128]",elu,adamax
167,colors_equate_2_48,colors,3,TS-controlled,AD-controlled,Congruent,75,0.45,0.45,0.7589,0.7589,2,"[64, 16]",sigmoid,nadam
168,colors_equate_2_49,colors,3,TS-controlled,AD-controlled,Congruent,75,0.45,0.45,0.6975,0.6975,5,"[64, 64, 128, 16, 16]",softplus,adagrad
169,colors_equate_2_50,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.049,0.049,2,"[128, 16]",linear,rmsprop
170,colors_equate_2_51,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.2597,0.2597,5,"[16, 32, 64, 64, 16]",elu,adam
171,colors_equate_2_52,colors,3,TS-controlled,AD-controlled,Congruent,75,0.55,0.55,10766.5322,10766.5322,2,"[64, 16]",relu,sgd
172,colors_equate_2_53,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.4811,0.4811,3,"[64, 64, 16]",elu,nadam
173,colors_equate_2_54,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.1799,0.1799,3,"[64, 16, 128]",elu,adamax
174,colors_equate_2_55,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.4696,0.4696,2,"[64, 32]",tanh,adamax
175,colors_equate_2_56,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.0134,0.0134,5,"[16, 32, 64, 128, 128]",tanh,adagrad
176,colors_equate_2_57,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.1274,0.1274,2,"[64, 128]",elu,nadam
177,colors_equate_2_58,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.4568,0.4568,5,"[64, 16, 16, 64, 16]",tanh,nadam
178,colors_equate_2_59,colors,3,TS-controlled,AD-controlled,Congruent,75,1.0,1.0,0.0639,0.0639,5,"[64, 128, 32, 64, 64]",linear,adam
